Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
characterization,2,1,2,28.57142857142857
material,2,2,4,57.14285714285714
componentOf,1,3,5,71.42857142857143
derivation,1,4,6,85.71428571428571
mediation,1,5,7,100.0
comparative,0,6,7,100.0
bringsAbout,0,7,7,100.0
externalDependence,0,8,7,100.0
historicalDependence,0,9,7,100.0
instantiation,0,10,7,100.0
creation,0,11,7,100.0
manifestation,0,12,7,100.0
memberOf,0,13,7,100.0
participation,0,14,7,100.0
participational,0,15,7,100.0
subCollectionOf,0,16,7,100.0
subQuantityOf,0,17,7,100.0
termination,0,18,7,100.0
triggers,0,19,7,100.0
