Stereotype,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation
characterization,1.0,0.19361659998419514,0.24104471570678104,-0.02783442349409279,0.36912543011306415,0.2718709441074036,0.3061208779913968,0.31921239852137884,0.005746392589311749,0.22461007843929365,0.14704679201617912,0.3722462528578508
componentOf,0.19361659998419514,1.0,0.017951389207835153,0.03738443160704642,-0.0829567898329898,0.05904468059826374,0.09435180379384712,0.052592274464950746,0.2112809844558041,0.13763950673916964,0.31238049991356226,-0.0288085485875897
creation,0.24104471570678104,0.017951389207835153,1.0,-0.025743538134169925,0.3131861191670797,0.486426423240057,0.4372559624099656,0.5213832687251001,-0.04179864156622329,0.05732594911200149,0.0698257258706936,0.7489859364103303
derivation,-0.02783442349409279,0.03738443160704642,-0.025743538134169925,1.0,-0.15603162995061884,-0.1330398923971055,-0.1330398923971055,-0.1872509944938639,0.5809839566230133,0.43506845489794765,0.19691747153683306,-0.08622270473392675
externalDependence,0.36912543011306415,-0.0829567898329898,0.3131861191670797,-0.15603162995061884,1.0,0.3998084807613413,0.540589848986986,0.48101851940151996,-0.20943107382092713,0.0182368425057037,0.0374971531420777,0.42441434605649586
historicalDependence,0.2718709441074036,0.05904468059826374,0.486426423240057,-0.1330398923971055,0.3998084807613413,1.0,0.5847507331378299,0.6228194492360035,-0.027867911428922223,-0.01071626762383608,-0.008166191206915443,0.606495755854367
instantiation,0.3061208779913968,0.09435180379384712,0.4372559624099656,-0.1330398923971055,0.540589848986986,0.5847507331378299,1.0,0.7310030042063398,-0.16488514262112314,-0.04790801996538483,-0.008166191206915443,0.5222668435073894
manifestation,0.31921239852137884,0.052592274464950746,0.5213832687251001,-0.1872509944938639,0.48101851940151996,0.6228194492360035,0.7310030042063398,1.0,-0.13673635189292038,-0.07357411007207633,-0.06539298540169447,0.6064943351752841
material,0.005746392589311749,0.2112809844558041,-0.04179864156622329,0.5809839566230133,-0.20943107382092713,-0.027867911428922223,-0.16488514262112314,-0.13673635189292038,1.0,0.406013763227618,0.21145107615480052,-0.08855913034158307
mediation,0.22461007843929365,0.13763950673916964,0.05732594911200149,0.43506845489794765,0.0182368425057037,-0.01071626762383608,-0.04790801996538483,-0.07357411007207633,0.406013763227618,1.0,0.27947330516057783,0.008694725201520382
memberOf,0.14704679201617912,0.31238049991356226,0.0698257258706936,0.19691747153683306,0.0374971531420777,-0.008166191206915443,-0.008166191206915443,-0.06539298540169447,0.21145107615480052,0.27947330516057783,1.0,0.047774793692408266
participation,0.3722462528578508,-0.0288085485875897,0.7489859364103303,-0.08622270473392675,0.42441434605649586,0.606495755854367,0.5222668435073894,0.6064943351752841,-0.08855913034158307,0.008694725201520382,0.047774793692408266,1.0
