Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
mediation,377,1,377,26.071922544951594
characterization,260,2,637,44.05255878284924
material,225,3,862,59.612724757952975
componentOf,117,4,979,67.70401106500692
participation,101,5,1080,74.68879668049793
externalDependence,63,6,1143,79.04564315352697
instantiation,61,7,1204,83.26417704011065
derivation,57,8,1261,87.20608575380359
memberOf,36,9,1297,89.6957123098202
creation,34,10,1331,92.04702627939142
manifestation,31,11,1362,94.1908713692946
historicalDependence,30,12,1392,96.2655601659751
bringsAbout,23,13,1415,97.85615491009682
comparative,13,14,1428,98.7551867219917
triggers,13,15,1441,99.65421853388659
termination,3,16,1444,99.86168741355463
participational,2,17,1446,100.0
subQuantityOf,0,18,1446,100.0
subCollectionOf,0,19,1446,100.0
