stereotype,total_correlation,rank
category,3.4706311954201152,9
event,4.347680650741369,6
kind,4.528897366910154,5
mode,3.340337722554143,12
phase,2.5306422924351955,18
quality,3.8964804978440903,7
relator,3.88172456838339,8
role,3.1451185569049103,13
roleMixin,3.435535701276154,10
subkind,3.3525325207820686,11
type,4.663589933684617,2
none_c,2.110386873858379,19
other_c,2.860589426863797,16
characterization,4.648623688627308,3
componentOf,3.0030434245493445,15
material,3.1200256949608676,14
mediation,4.546920101256952,4
participation,4.7239327314664425,1
none_r,2.5984554702980245,17
other_r,2.105446469607357,20
