stereotype,total_correlation,rank
category,3.873067098414774,20
collective,3.8257765861391553,22
datatype,2.493058052270547,31
event,5.951396115011984,8
kind,5.398470939251095,10
mixin,2.829042962959165,28
mode,4.416931531853236,15
phase,2.956429243160791,27
quality,4.835205406746428,13
relator,4.277190813360691,16
role,3.834616211629255,21
roleMixin,4.074901094502639,18
situation,5.388222058058661,11
subkind,3.4657387622939915,25
type,6.706683409364954,4
none_c,2.286216013762723,32
other_c,3.6270879546403254,24
bringsAbout,5.974798767516759,7
characterization,5.636891988013992,9
componentOf,3.394142990959554,26
creation,4.482704126132957,14
derivation,3.696933409600435,23
externalDependence,6.003013846096356,6
historicalDependence,6.458836202104086,5
instantiation,7.185373642222979,1
manifestation,6.995866833458412,2
material,3.9681641523132916,19
mediation,5.139992874179064,12
memberOf,4.225597811616994,17
participation,6.922546615662376,3
none_r,2.5633348254193895,30
other_r,2.7758300169512378,29
