stereotype,total_correlation,rank
category,3.11001090054787,10
event,3.1761164398301585,8
kind,3.7993927522838735,3
mode,2.526155549446935,15
phase,2.1661774679967745,18
quality,3.140003162822312,9
relator,3.5228228719008428,4
role,2.5795986328407046,14
roleMixin,2.8964888425552413,11
subkind,3.243024092058774,5
type,3.2428951453403796,6
none_c,1.9480804659502202,19
other_c,2.256072080804116,17
characterization,3.8336200594967513,2
componentOf,2.6570093934609145,12
material,2.4531647289694813,16
mediation,4.022278418142081,1
participation,3.2236027708258,7
none_r,2.6340573085363643,13
other_r,1.5969655235772873,20
