Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
mediation,1326,1,1326,39.975881820922524
none,557,2,1883,56.76816400361773
other,368,3,2251,67.86252637925837
componentOf,318,4,2569,77.44950256255653
material,298,5,2867,86.4335242689177
characterization,158,6,3025,91.19686463671994
memberOf,130,7,3155,95.11606873681036
derivation,113,8,3268,98.52276153150437
subCollectionOf,19,9,3287,99.09556828459452
comparative,15,10,3302,99.54778414229726
externalDependence,8,11,3310,99.78896593307205
participation,4,12,3314,99.90955682845946
subQuantityOf,3,13,3317,100.0
creation,0,14,3317,100.0
bringsAbout,0,15,3317,100.0
historicalDependence,0,16,3317,100.0
instantiation,0,17,3317,100.0
manifestation,0,18,3317,100.0
participational,0,19,3317,100.0
triggers,0,20,3317,100.0
termination,0,21,3317,100.0
