Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.3851545444099736,2,0.22576530612244897
20.0,4,0.6586234631736183,4,0.4272959183673469
30.0,6,0.7786970010341262,6,0.5892857142857143
40.0,8,0.8685510743421808,8,0.7142857142857143
50.0,10,0.9254280133287373,10,0.8073979591836735
60.0,12,0.9558772836952775,12,0.8762755102040817
70.0,14,0.973802137194071,14,0.9311224489795918
80.0,16,0.9894289325519936,16,0.9693877551020408
90.0,18,0.9965529127886935,18,0.9897959183673469
100.0,21,1.0,21,1.0
