year,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,none,other
2005,0,7,1,2,0,0,0,0,9,2,4,4,0,0,1,3,7,0,0,3,0,0,0
2007,0,3,0,1,0,2,0,0,4,0,1,0,0,0,0,0,0,1,0,4,0,0,4
2011,0,4,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,3,0,0,0
2012,0,11,0,0,0,0,0,0,38,0,0,0,0,0,0,16,9,0,0,42,0,0,0
2013,0,0,9,3,0,0,0,0,11,0,0,0,0,0,0,2,3,0,0,27,0,0,0
2014,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,5,0,0,0,0,7,6
2015,0,202,51,3,23,19,0,0,548,55,237,121,0,2,26,845,1346,289,6,873,106,158,15
2016,0,41,4,1,0,7,0,0,9,9,22,0,0,7,3,19,14,9,1,41,9,0,8
2017,0,17,0,0,0,100,0,0,43,1,14,7,0,0,3,15,52,12,4,23,21,63,25
2018,0,27,5,0,2,26,0,0,34,1,18,2,0,4,0,30,9,31,6,43,3,17,12
