year,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,none,other
2005,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0
2007,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2011,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2012,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,2,0,0,0
2013,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0
2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1
2015,0,7,4,2,3,3,0,0,8,4,5,4,0,1,2,7,7,0,2,6,3,2,7
2016,0,3,2,1,0,2,0,0,1,2,2,0,0,1,1,4,2,0,1,1,1,0,3
2017,0,5,0,0,0,6,0,0,7,1,3,2,0,0,1,4,8,0,1,6,2,4,5
2018,0,7,3,0,1,4,0,0,5,1,5,1,0,2,0,8,4,0,2,8,2,1,8
