Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
none_r,106,1,106,6.950819672131148
kind,102,2,208,13.639344262295083
relator,91,3,299,19.60655737704918
subkind,89,4,388,25.442622950819672
category,86,5,474,31.08196721311475
role,84,6,558,36.59016393442623
mediation,77,7,635,41.63934426229508
characterization,68,8,703,46.0983606557377
mode,58,9,761,49.90163934426229
roleMixin,54,10,815,53.442622950819676
material,54,11,869,56.98360655737705
event,53,12,922,60.459016393442624
componentOf,45,13,967,63.409836065573764
quality,44,14,1011,66.29508196721311
phase,41,15,1052,68.98360655737706
derivation,39,16,1091,71.54098360655738
collective,35,17,1126,73.8360655737705
other_r,35,18,1161,76.1311475409836
memberOf,31,19,1192,78.1639344262295
participation,29,20,1221,80.06557377049181
type,26,21,1247,81.77049180327869
datatype,26,22,1273,83.47540983606557
none_c,23,23,1296,84.98360655737704
externalDependence,22,24,1318,86.42622950819671
mixin,22,25,1340,87.8688524590164
situation,21,26,1361,89.24590163934425
other_c,19,27,1380,90.49180327868852
creation,18,28,1398,91.67213114754098
instantiation,17,29,1415,92.78688524590164
historicalDependence,16,30,1431,93.83606557377048
quantity,12,31,1443,94.62295081967214
bringsAbout,12,32,1455,95.40983606557377
manifestation,12,33,1467,96.19672131147541
triggers,10,34,1477,96.85245901639344
enumeration,9,35,1486,97.44262295081967
phaseMixin,8,36,1494,97.9672131147541
subCollectionOf,6,37,1500,98.36065573770492
comparative,6,38,1506,98.75409836065575
historicalRole,4,39,1510,99.01639344262296
participational,4,40,1514,99.27868852459017
subQuantityOf,4,41,1518,99.54098360655738
historicalRoleMixin,3,42,1521,99.73770491803279
termination,3,43,1524,99.9344262295082
abstract,1,44,1525,100.0
