stereotype,total_correlation,rank
category,12.220084679281465,1
collective,8.88675134594813,17
datatype,12.220084679281465,1
enumeration,12.220084679281465,1
event,12.220084679281465,1
kind,-1.0,21
mixin,12.220084679281465,1
mode,8.88675134594813,17
quality,9.660254037844389,9
quantity,12.220084679281465,1
relator,9.660254037844389,9
role,9.553418012614797,13
situation,12.220084679281465,1
subkind,12.220084679281465,1
other_c,9.553418012614797,13
characterization,8.88675134594813,17
componentOf,9.660254037844389,9
derivation,9.553418012614797,13
material,9.660254037844389,9
mediation,9.553418012614797,13
none_r,-1.0,21
other_r,8.660254037844389,20
