stereotype,total_correlation,rank
category,3.599847791466126,11
event,3.9801479930174684,9
kind,4.1863219760116435,6
mode,4.36268148722628,4
phase,3.2689024979299766,15
quality,3.298795623982835,13
relator,4.135209730946119,7
role,3.4116206215956977,12
subkind,3.13010715897478,16
type,4.262391280110749,5
none_c,1.9979827523732636,20
other_c,3.0778814092961007,17
characterization,5.056822169840779,1
derivation,3.287452712046145,14
formal,2.3802600949459394,18
material,3.8518622262214293,10
mediation,4.895671432419881,3
participation,4.115376607658985,8
none_r,2.367403142377101,19
other_r,4.945883585491351,2
