Stereotype,Shannon Entropy,Gini Coefficient,Simpson Index
abstract,0.0,0.0,0.0
category,1.5545851650097142,0.3333333333333333,0.3472222222222222
collective,0.0,0.75,1.0
datatype,0.0,0.75,1.0
enumeration,0.0,0.75,1.0
event,0.0,0.75,1.0
historicalRole,0.0,0.0,0.0
historicalRoleMixin,0.0,0.0,0.0
kind,1.9031854727091724,0.18055555555555555,0.279320987654321
mixin,0.0,0.75,1.0
mode,0.0,0.75,1.0
phase,0.0,0.0,0.0
phaseMixin,0.0,0.0,0.0
quality,0.8112781215737428,0.625,0.625
quantity,0.0,0.75,1.0
relator,0.8112781215737428,0.625,0.625
role,1.5612781201310477,0.3125,0.34375
roleMixin,0.0,0.0,0.0
situation,0.0,0.75,1.0
subkind,1.1788990457927462,0.5096153846153846,0.4755917159763314
type,0.0,0.0,0.0
none_c,0.0,0.0,0.0
other_c,0.0,0.75,1.0
bringsAbout,0.0,0.0,0.0
characterization,1.2954618399102367,0.5,0.45999999999999996
comparative,0.0,0.0,0.0
componentOf,0.74959525437409,0.6428571428571429,0.6632653061224489
creation,0.0,0.0,0.0
derivation,0.0,0.75,1.0
externalDependence,0.0,0.0,0.0
historicalDependence,0.0,0.0,0.0
instantiation,0.0,0.0,0.0
manifestation,0.0,0.0,0.0
material,0.6193821917933737,0.6730769230769231,0.7396449704142012
mediation,0.0,0.75,1.0
memberOf,0.0,0.0,0.0
participation,0.0,0.0,0.0
participational,0.0,0.0,0.0
subCollectionOf,0.0,0.0,0.0
subQuantityOf,0.0,0.0,0.0
termination,0.0,0.0,0.0
triggers,0.0,0.0,0.0
none_r,1.851020470704135,0.23148148148148148,0.29858253315043437
other_r,0.4689955907038912,0.7,0.8200000000000001
