Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,4,0.4403946729929369,4,0.2517482517482518
20.0,9,0.6904620693373591,9,0.49523204068658616
30.0,13,0.8074621232544347,13,0.6293706293706294
40.0,18,0.8921119318488165,18,0.7533375715193897
50.0,22,0.935784763034453,22,0.8226319135410044
60.0,27,0.9634442227853561,27,0.8919262555626192
70.0,31,0.9799967649754677,31,0.9364272091544819
80.0,36,0.9915350191405619,36,0.9726636999364272
90.0,40,0.9969267266943441,40,0.989192625556262
100.0,45,1.0,45,1.0
