stereotype,total_correlation,rank
category,3.936573597244605,11
event,3.089097797948397,16
kind,4.720731439475413,5
mode,4.571968181147044,7
phase,3.516524201943084,13
quality,3.0783383178022037,17
relator,5.06865963953925,2
role,4.138309546093246,9
roleMixin,3.609159222992922,12
subkind,4.0870762878410325,10
type,3.4670520934870295,14
none_c,1.9960813681243383,21
characterization,4.830597179426206,4
componentOf,4.59525020725931,6
derivation,3.4036481236206306,15
material,4.368333701894234,8
mediation,5.872679414134191,1
memberOf,4.867751605824254,3
participation,2.820704375934899,18
none_r,2.408381419551829,19
other_r,2.3716559110771875,20
