Stereotype,average_quantity,rank,proportion
bringsAbout,0,7,0.0
characterization,2,4,0.058823529411764705
comparative,0,7,0.0
componentOf,3,2,0.08823529411764706
creation,0,7,0.0
derivation,1,6,0.029411764705882353
externalDependence,0,7,0.0
historicalDependence,0,7,0.0
instantiation,0,7,0.0
manifestation,0,7,0.0
material,3,2,0.08823529411764706
mediation,0,7,0.0
memberOf,0,7,0.0
participation,0,7,0.0
participational,0,7,0.0
subCollectionOf,0,7,0.0
subQuantityOf,0,7,0.0
termination,0,7,0.0
triggers,0,7,0.0
none,23,1,0.6764705882352942
other,2,4,0.058823529411764705
