Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
none,117,1,117,14.810126582278482
mediation,116,2,233,29.49367088607595
material,83,3,316,40.0
characterization,79,4,395,50.0
componentOf,65,5,460,58.22784810126582
derivation,61,6,521,65.94936708860759
other,55,7,576,72.9113924050633
memberOf,49,8,625,79.11392405063292
participation,29,9,654,82.78481012658227
externalDependence,22,10,676,85.56962025316456
creation,18,11,694,87.84810126582279
instantiation,17,12,711,90.0
historicalDependence,16,13,727,92.0253164556962
manifestation,12,14,739,93.54430379746836
bringsAbout,12,15,751,95.0632911392405
subCollectionOf,11,16,762,96.45569620253166
triggers,10,17,772,97.72151898734177
comparative,7,18,779,98.60759493670886
participational,4,19,783,99.1139240506329
subQuantityOf,4,20,787,99.62025316455696
termination,3,21,790,100.0
