Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
mediation,2433,1,2433,28.40630472854641
none,2295,2,4728,55.20140105078809
material,746,3,5474,63.91126678342089
componentOf,688,4,6162,71.94395796847635
other,610,5,6772,79.06596614127263
characterization,591,6,7363,85.96614127262113
derivation,291,7,7654,89.36368943374198
memberOf,255,8,7909,92.34092235843549
participation,211,9,8120,94.80443666082896
externalDependence,77,10,8197,95.70344424985406
instantiation,69,11,8266,96.50904845300641
creation,60,12,8326,97.20957384705196
historicalDependence,44,13,8370,97.72329246935202
subCollectionOf,41,14,8411,98.2019848219498
comparative,38,15,8449,98.64565090484531
manifestation,34,16,8483,99.04261529480443
bringsAbout,30,17,8513,99.3928779918272
participational,17,18,8530,99.59136018680678
triggers,16,19,8546,99.77816695855225
subQuantityOf,14,20,8560,99.94162288382954
termination,5,21,8565,100.0
