Stereotype,characterization,componentOf,creation,derivation,externalDependence,instantiation,material,mediation,memberOf,participation,none,other
characterization,1.0,0.18967369951305765,0.2735548362540236,-0.04641528545955962,0.4353322137305953,0.3493878620228287,0.059742372471411564,0.19107028928820288,0.114022546111112,0.4228619545227031,0.21936604405482366,0.02728617494139203
componentOf,0.18967369951305765,1.0,-0.0013155544221842897,0.11830813274950495,-0.09116486937601004,0.053275040457930994,0.2631978094242974,0.26867717800981805,0.3741691143007642,-0.03926641562287068,-0.16105037427145807,0.20327181566148575
creation,0.2735548362540236,-0.0013155544221842897,1.0,-0.03292721240926513,0.33391523113226573,0.4276765289439454,-0.035268139357195506,0.08320844545623587,0.0725325699758925,0.7420188506005762,0.1642552861054872,-0.11214887839595974
derivation,-0.04641528545955962,0.11830813274950495,-0.03292721240926513,1.0,-0.1712431271958696,-0.15595160152207696,0.5831820308699937,0.4335917921708326,0.21183767127535383,-0.10447151985764644,-0.1006468422731716,0.21343849573640405
externalDependence,0.4353322137305953,-0.09116486937601004,0.33391523113226573,-0.1712431271958696,1.0,0.5186308861903669,-0.21511447570241077,0.013483321879053468,0.030803743818478984,0.4328077539575667,0.1679954098350585,-0.03717564885856293
instantiation,0.3493878620228287,0.053275040457930994,0.4276765289439454,-0.15595160152207696,0.5186308861903669,1.0,-0.14518983352050946,-0.010875237091638958,0.0007215771045872363,0.5498648855782975,0.11090979057627695,-0.05100066815193971
material,0.059742372471411564,0.2631978094242974,-0.035268139357195506,0.5831820308699937,-0.21511447570241077,-0.14518983352050946,1.0,0.43674630442685386,0.2399421114087947,-0.07421396463789136,-0.19206793720752643,0.0968561139082288
mediation,0.19107028928820288,0.26867717800981805,0.08320844545623587,0.4335917921708326,0.013483321879053468,-0.010875237091638958,0.43674630442685386,1.0,0.356587822084019,-0.018820852083744243,-0.2760157923115968,0.1668471008153077
memberOf,0.114022546111112,0.3741691143007642,0.0725325699758925,0.21183767127535383,0.030803743818478984,0.0007215771045872363,0.2399421114087947,0.356587822084019,1.0,0.045776374704009394,-0.21675076978265476,0.25197914682075695
participation,0.4228619545227031,-0.03926641562287068,0.7420188506005762,-0.10447151985764644,0.4328077539575667,0.5498648855782975,-0.07421396463789136,-0.018820852083744243,0.045776374704009394,1.0,0.19399798128528598,-0.05247301418643077
none,0.21936604405482366,-0.16105037427145807,0.1642552861054872,-0.1006468422731716,0.1679954098350585,0.11090979057627695,-0.19206793720752643,-0.2760157923115968,-0.21675076978265476,0.19399798128528598,1.0,-0.15792198203635954
other,0.02728617494139203,0.20327181566148575,-0.11214887839595974,0.21343849573640405,-0.03717564885856293,-0.05100066815193971,0.0968561139082288,0.1668471008153077,0.25197914682075695,-0.05247301418643077,-0.15792198203635954,1.0
