Stereotype,characterization,componentOf,creation,derivation,externalDependence,instantiation,material,mediation,memberOf,participation,none,other
characterization,1.0,0.19163500934365335,0.25678580127231754,0.03594360460611303,0.4008643045163517,0.3270396292224618,0.018528441014764887,0.2071625271723672,0.12948609818492438,0.3967477511558486,0.2377223498059994,0.02362397339101461
componentOf,0.19163500934365335,1.0,0.004859632646272645,0.06650475394534767,0.08696404377084609,0.07089849197547134,0.23581495347364353,0.1923033911644395,0.3418817558418225,0.033633442320582664,0.12713675055924809,0.19930821571315266
creation,0.25678580127231754,0.004859632646272645,1.0,0.029114651780672737,0.32338462450941097,0.4324397209595094,0.038394795424627905,0.06906520911365525,0.07116627956998715,0.7454942546064252,0.20157963963073994,0.10668708111912627
derivation,0.03594360460611303,0.06650475394534767,0.029114651780672737,1.0,0.1634605281228856,0.14404091184678539,0.5820819561937074,0.4343294959776462,0.20424137338892304,0.09490952012201102,0.09242926711803903,0.2134703658541657
externalDependence,0.4008643045163517,0.08696404377084609,0.32338462450941097,0.1634605281228856,1.0,0.5294965462074679,0.2122537529486384,0.01568098267207789,0.03398606625237519,0.4285905037026385,0.1639268783580863,0.03260030388582323
instantiation,0.3270396292224618,0.07089849197547134,0.4324397209595094,0.14404091184678539,0.5294965462074679,1.0,0.15472442084934857,0.022825667037669084,0.0024274547589176187,0.5358882328867927,0.14565756601973237,0.042469822852356176
material,0.018528441014764887,0.23581495347364353,0.038394795424627905,0.5820819561937074,0.2122537529486384,0.15472442084934857,1.0,0.42109976328193516,0.22524657083348612,0.08106987213220863,0.16247450687376128,0.11351195898056157
mediation,0.2071625271723672,0.1923033911644395,0.06906520911365525,0.4343294959776462,0.01568098267207789,0.022825667037669084,0.42109976328193516,1.0,0.3156846166949427,0.012792268638776255,0.224977026088761,0.14961065348083172
memberOf,0.12948609818492438,0.3418817558418225,0.07116627956998715,0.20424137338892304,0.03398606625237519,0.0024274547589176187,0.22524657083348612,0.3156846166949427,1.0,0.0467649105363244,0.16483158282707552,0.2631012510861921
participation,0.3967477511558486,0.033633442320582664,0.7454942546064252,0.09490952012201102,0.4285905037026385,0.5358882328867927,0.08106987213220863,0.012792268638776255,0.0467649105363244,1.0,0.22070299500998916,0.05171847233547854
none,0.2377223498059994,0.12713675055924809,0.20157963963073994,0.09242926711803903,0.1639268783580863,0.14565756601973237,0.16247450687376128,0.224977026088761,0.16483158282707552,0.22070299500998916,1.0,0.1282838818692107
other,0.02362397339101461,0.19930821571315266,0.10668708111912627,0.2134703658541657,0.03260030388582323,0.042469822852356176,0.11351195898056157,0.14961065348083172,0.2631012510861921,0.05171847233547854,0.1282838818692107,1.0
