Stereotype,bringsAbout,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,termination
bringsAbout,1.0,0.27502397769383385,0.07532823589746829,0.15804808335553586,-0.03206985676651717,0.1733082895421477,0.29753456906035464,0.17075394039392602,0.334297385263951,0.14269526917116168,-0.17002360888783882,-0.061761478215543536,0.4380725420961469,0.2853016189378481
characterization,0.27502397769383385,1.0,0.24058131975148342,0.19881901195308607,-0.018096371296461255,0.35952679528336967,0.2384419731732482,0.28025985598998715,0.343985886713488,0.26965470334707,0.21839442362935457,0.1465709947391768,0.344970530217947,0.03523367678110135
componentOf,0.07532823589746829,0.24058131975148342,1.0,0.06305667922142712,0.11492309309889893,-0.06570188677310163,0.1053329187207732,0.18115262473839297,0.0569763257681744,0.3890413962028651,0.3264091063580054,0.3877381889394757,0.06007410294887207,0.03799303986169951
creation,0.15804808335553586,0.19881901195308607,0.06305667922142712,1.0,-0.0015319095634684895,0.28510467524309097,0.40383321921979626,0.3473073849453672,0.48977594878936,0.02047706207381894,0.196950915590346,0.226917656843681,0.7167122801786197,0.48870189181816154
derivation,-0.03206985676651717,-0.018096371296461255,0.11492309309889893,-0.0015319095634684895,1.0,-0.20495177153584665,-0.1356911923154515,-0.1677907146289936,-0.24665395806301688,0.42972910696090866,0.3720960042444667,0.24458062085563767,-0.0638551891204013,0.007649312390764179
externalDependence,0.1733082895421477,0.35952679528336967,-0.06570188677310163,0.28510467524309097,-0.20495177153584665,1.0,0.3196317823297999,0.4421825272013457,0.4748968231817684,-0.20756243742562183,0.050683130211986414,0.1007070205367735,0.29762376372174115,0.2593757196021841
historicalDependence,0.29753456906035464,0.2384419731732482,0.1053329187207732,0.40383321921979626,-0.1356911923154515,0.3196317823297999,1.0,0.5391778583742591,0.5447334630968454,0.05136974715636205,0.01491362045455661,0.10969964293114416,0.6311541499064227,0.07037109610022768
instantiation,0.17075394039392602,0.28025985598998715,0.18115262473839297,0.3473073849453672,-0.1677907146289936,0.4421825272013457,0.5391778583742591,1.0,0.6843352202422159,-0.12164461170151007,0.024035668544789786,0.10095429044610896,0.48654600402358406,0.04629485570502743
manifestation,0.334297385263951,0.343985886713488,0.0569763257681744,0.48977594878936,-0.24665395806301688,0.4748968231817684,0.5447334630968454,0.6843352202422159,1.0,-0.1280872331561414,-0.08060460395065648,-0.0274060418581934,0.5976093740395937,0.23243216075547668
material,0.14269526917116168,0.26965470334707,0.3890413962028651,0.02047706207381894,0.42972910696090866,-0.20756243742562183,0.05136974715636205,-0.12164461170151007,-0.1280872331561414,1.0,0.42444947733369576,0.30411610375128056,0.022389340603933758,0.08572308220399912
mediation,-0.17002360888783882,0.21839442362935457,0.3264091063580054,0.196950915590346,0.3720960042444667,0.050683130211986414,0.01491362045455661,0.024035668544789786,-0.08060460395065648,0.42444947733369576,1.0,0.44522476749704454,0.03607512413038481,0.15040675830225672
memberOf,-0.061761478215543536,0.1465709947391768,0.3877381889394757,0.226917656843681,0.24458062085563767,0.1007070205367735,0.10969964293114416,0.10095429044610896,-0.0274060418581934,0.30411610375128056,0.44522476749704454,1.0,0.19848576442399582,0.16319796740561815
participation,0.4380725420961469,0.344970530217947,0.06007410294887207,0.7167122801786197,-0.0638551891204013,0.29762376372174115,0.6311541499064227,0.48654600402358406,0.5976093740395937,0.022389340603933758,0.03607512413038481,0.19848576442399582,1.0,0.26225984940864144
termination,0.2853016189378481,0.03523367678110135,0.03799303986169951,0.48870189181816154,0.007649312390764179,0.2593757196021841,0.07037109610022768,0.04629485570502743,0.23243216075547668,0.08572308220399912,0.15040675830225672,0.16319796740561815,0.26225984940864144,1.0
