Stereotype,x_value,y_value,quadrant
abstract,0.0082644628099173,1,Q3
category,4.809917355371901,86,Q1
collective,1.0909090909090908,35,Q2
datatype,0.7272727272727273,26,Q2
enumeration,0.5206611570247934,8,Q3
event,3.9173553719008254,53,Q1
historicalRole,0.1900826446280991,4,Q3
historicalRoleMixin,0.0743801652892562,3,Q3
kind,13.107438016528926,101,Q1
mixin,0.6942148760330579,22,Q3
mode,4.487603305785124,58,Q1
phase,2.743801652892562,41,Q1
phaseMixin,0.1652892561983471,8,Q3
quality,2.074380165289256,44,Q1
quantity,0.3636363636363636,12,Q3
relator,10.305785123966942,91,Q1
role,15.24793388429752,84,Q1
roleMixin,4.760330578512397,54,Q1
situation,0.6528925619834711,21,Q3
subkind,16.71900826446281,88,Q1
type,1.7603305785123966,26,Q1
none,3.1404958677685952,23,Q4
other,0.9090909090909092,19,Q3
