Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.2864864864864865,2,0.22058823529411764
20.0,4,0.5009009009009009,4,0.43137254901960786
30.0,6,0.6567567567567567,6,0.6029411764705882
40.0,9,0.8378378378378378,9,0.7696078431372549
50.0,11,0.909009009009009,11,0.8333333333333334
60.0,13,0.945045045045045,13,0.8872549019607843
70.0,16,0.9792792792792793,16,0.9509803921568627
80.0,18,0.9945945945945946,18,0.9852941176470589
90.0,20,1.0,20,1.0
100.0,23,1.0,23,1.0
