Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
none_r,27,1,27,8.940397350993377
kind,22,2,49,16.225165562913908
relator,21,3,70,23.178807947019866
subkind,21,4,91,30.132450331125828
role,20,5,111,36.75496688741722
category,20,6,131,43.377483443708606
mediation,15,7,146,48.34437086092716
roleMixin,13,8,159,52.64900662251656
event,13,9,172,56.95364238410596
material,12,10,184,60.9271523178808
other_r,11,11,195,64.56953642384106
mode,11,12,206,68.21192052980133
characterization,10,13,216,71.52317880794702
componentOf,10,14,226,74.83443708609272
other_c,8,15,234,77.48344370860927
collective,7,16,241,79.80132450331125
memberOf,6,17,247,81.78807947019867
derivation,6,18,253,83.77483443708608
phase,6,19,259,85.76158940397352
mixin,5,20,264,87.41721854304636
none_c,5,21,269,89.0728476821192
situation,5,22,274,90.72847682119205
datatype,4,23,278,92.05298013245033
quality,4,24,282,93.37748344370861
quantity,3,25,285,94.37086092715232
type,3,26,288,95.36423841059603
enumeration,3,27,291,96.35761589403974
externalDependence,2,28,293,97.01986754966887
subCollectionOf,2,29,295,97.68211920529801
participation,2,30,297,98.34437086092716
historicalDependence,1,31,298,98.67549668874173
instantiation,1,32,299,99.00662251655629
triggers,1,33,300,99.33774834437085
manifestation,1,34,301,99.66887417218543
bringsAbout,1,35,302,100.0
abstract,0,36,302,100.0
historicalRole,0,37,302,100.0
historicalRoleMixin,0,38,302,100.0
phaseMixin,0,39,302,100.0
comparative,0,40,302,100.0
creation,0,41,302,100.0
participational,0,42,302,100.0
subQuantityOf,0,43,302,100.0
termination,0,44,302,100.0
