Stereotype,x_value,y_value,quadrant
abstract,0,0.0,Q3
category,285,0.0961538461538461,Q1
collective,65,0.0432692307692307,Q2
datatype,10,0.0288461538461538,Q3
enumeration,23,0.0144230769230769,Q3
event,128,0.0576923076923076,Q1
historicalRole,0,0.0,Q3
historicalRoleMixin,0,0.0,Q3
kind,674,0.1153846153846153,Q1
mixin,67,0.0384615384615384,Q1
mode,278,0.0576923076923076,Q1
phase,135,0.0384615384615384,Q1
phaseMixin,0,0.0,Q3
quality,9,0.0096153846153846,Q3
quantity,33,0.0240384615384615,Q3
relator,905,0.0961538461538461,Q1
role,1436,0.1057692307692307,Q1
roleMixin,311,0.0673076923076923,Q1
situation,11,0.0192307692307692,Q3
subkind,1016,0.0913461538461538,Q1
type,136,0.0288461538461538,Q4
none,228,0.0336538461538461,Q1
other,58,0.0336538461538461,Q2
