Stereotype,x_value,y_value,quadrant
abstract,0.0,0.0,Q3
category,0.6896551724137931,0.0961538461538461,Q1
collective,0.3103448275862069,0.0432692307692307,Q1
datatype,0.2068965517241379,0.0288461538461538,Q3
enumeration,0.1034482758620689,0.0144230769230769,Q3
event,0.4137931034482758,0.0576923076923076,Q1
historicalRole,0.0,0.0,Q3
historicalRoleMixin,0.0,0.0,Q3
kind,0.8275862068965517,0.1153846153846153,Q1
mixin,0.2758620689655172,0.0384615384615384,Q1
mode,0.4137931034482758,0.0576923076923076,Q1
phase,0.2758620689655172,0.0384615384615384,Q1
phaseMixin,0.0,0.0,Q3
quality,0.0689655172413793,0.0096153846153846,Q3
quantity,0.1724137931034483,0.0240384615384615,Q3
relator,0.6896551724137931,0.0961538461538461,Q1
role,0.7586206896551724,0.1057692307692307,Q1
roleMixin,0.4827586206896552,0.0673076923076923,Q1
situation,0.1379310344827586,0.0192307692307692,Q3
subkind,0.6551724137931034,0.0913461538461538,Q1
type,0.2068965517241379,0.0288461538461538,Q3
none,0.2413793103448276,0.0336538461538461,Q1
other,0.2413793103448276,0.0336538461538461,Q1
