Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.35733882030178327,2,0.2239089184060721
20.0,4,0.5397805212620027,4,0.41935483870967744
30.0,6,0.6844993141289437,6,0.5768500948766604
40.0,8,0.7962962962962963,8,0.7020872865275142
50.0,10,0.8868312757201646,10,0.8083491461100569
60.0,12,0.9314128943758574,12,0.8747628083491461
70.0,14,0.9636488340192044,14,0.9316888045540797
80.0,16,0.9828532235939643,16,0.967741935483871
90.0,18,0.9945130315500685,18,0.9848197343453511
100.0,21,1.0,21,1.0
