stereotype,total_correlation,rank
category,3.8688906210796974,17
collective,4.193476346530609,13
datatype,2.075845933740843,27
event,5.907258466596618,1
kind,5.273993399267291,4
mixin,1.9824122038940661,28
mode,3.5187604507841934,19
phase,3.0678063803964717,21
quality,4.6174544486633,10
relator,4.1510503222722015,14
role,3.9701624330384586,15
roleMixin,3.4971614744712953,20
situation,4.688244742167947,9
subkind,2.926478640457517,23
type,5.226196260204399,5
none_c,2.7706394790843683,25
other_c,2.9876054029361017,22
characterization,4.746737807610055,8
componentOf,2.850352603644309,24
derivation,3.9033817791950103,16
externalDependence,4.969266906448598,6
instantiation,5.558860499853628,2
material,4.248319185842942,12
mediation,4.809365960388026,7
memberOf,3.5931244233212025,18
participation,5.293702487851087,3
none_r,4.603125893021928,11
other_r,2.289345586499451,26
