stereotype,total_correlation,rank
bringsAbout,2.8824760285371496,10
characterization,2.941918828191516,9
componentOf,2.253902978991377,14
creation,3.030896150174809,7
derivation,2.330393997343547,13
externalDependence,3.1572613314866285,5
formal,1.6182304336235482,15
historicalDependence,3.450683802694545,4
instantiation,4.066794068910804,2
manifestation,4.1226768385747885,1
material,2.9525207147283283,8
mediation,2.5360116989916803,12
memberOf,3.0341321895200384,6
participation,3.9343438000490245,3
triggers,2.7029516150881445,11
none,1.2900645049037305,16
