Stereotype,characterization,componentOf,creation,derivation,externalDependence,formal,instantiation,material,mediation,memberOf,participation,none
characterization,1.0,0.2982226667441275,0.13051854129285398,0.010061264732020896,0.296179970079098,0.019727709296831056,0.257748138438918,0.2673344715515709,0.2661752471888583,0.18686153529572133,0.27797070422642334,0.051734456693899665
componentOf,0.2982226667441275,1.0,0.08447329957551991,0.006768112320557516,0.005681694337891375,0.024251084891489517,0.22583957389988263,0.34270251011134567,0.2542061980343801,0.3715367827982368,0.06861096928259242,0.06510461065433767
creation,0.13051854129285398,0.08447329957551991,1.0,0.029738803564145565,0.23677358391316655,0.058236649827541245,0.3595131899719741,0.008071374967194976,0.1737205159080595,0.3021472098322202,0.7038856152075144,0.12069918376354782
derivation,0.010061264732020896,0.006768112320557516,0.029738803564145565,1.0,0.1718157735079732,0.03865096280532054,0.19270314232106855,0.4714207897433056,0.41650078050916617,0.22947819419900567,0.042607771627142646,0.0757320923695605
externalDependence,0.296179970079098,0.005681694337891375,0.23677358391316655,0.1718157735079732,1.0,0.15943190900089835,0.5390439435165439,0.2590460354161034,0.03254781023972881,0.15109538728232977,0.2601900462280601,0.05392399016477028
formal,0.019727709296831056,0.024251084891489517,0.058236649827541245,0.03865096280532054,0.15943190900089835,1.0,0.21720440856776133,0.10159138565697073,0.021723679594880745,0.24185953190793685,0.0,0.10270694471743494
instantiation,0.257748138438918,0.22583957389988263,0.3595131899719741,0.19270314232106855,0.5390439435165439,0.21720440856776133,1.0,0.11929625570352573,0.05274027826536615,0.1402345445295501,0.4205087028168138,0.05757850771406344
material,0.2673344715515709,0.34270251011134567,0.008071374967194976,0.4714207897433056,0.2590460354161034,0.10159138565697073,0.11929625570352573,1.0,0.430093421008781,0.3214571537623562,0.018085162306203,0.20441609446179168
mediation,0.2661752471888583,0.2542061980343801,0.1737205159080595,0.41650078050916617,0.03254781023972881,0.021723679594880745,0.05274027826536615,0.430093421008781,1.0,0.42281324976384904,0.06790681629640091,0.13099247078124518
memberOf,0.18686153529572133,0.3715367827982368,0.3021472098322202,0.22947819419900567,0.15109538728232977,0.24185953190793685,0.1402345445295501,0.3214571537623562,0.42281324976384904,1.0,0.26148848366870814,0.06166160608676711
participation,0.27797070422642334,0.06861096928259242,0.7038856152075144,0.042607771627142646,0.2601900462280601,0.0,0.4205087028168138,0.018085162306203,0.06790681629640091,0.26148848366870814,1.0,0.12549977129433987
none,0.051734456693899665,0.06510461065433767,0.12069918376354782,0.0757320923695605,0.05392399016477028,0.10270694471743494,0.05757850771406344,0.20441609446179168,0.13099247078124518,0.06166160608676711,0.12549977129433987,1.0
