Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
characterization,1,1,1,33.33333333333333
componentOf,1,2,2,66.66666666666666
none,1,3,3,100.0
comparative,0,4,3,100.0
bringsAbout,0,5,3,100.0
creation,0,6,3,100.0
derivation,0,7,3,100.0
historicalDependence,0,8,3,100.0
externalDependence,0,9,3,100.0
manifestation,0,10,3,100.0
material,0,11,3,100.0
mediation,0,12,3,100.0
instantiation,0,13,3,100.0
memberOf,0,14,3,100.0
participation,0,15,3,100.0
subCollectionOf,0,16,3,100.0
participational,0,17,3,100.0
subQuantityOf,0,18,3,100.0
termination,0,19,3,100.0
triggers,0,20,3,100.0
other,0,21,3,100.0
