Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.5404925107895405,2,0.2835164835164835
20.0,4,0.7164254887027164,4,0.47692307692307695
30.0,6,0.8227976643818228,6,0.6043956043956044
40.0,8,0.889058136582889,8,0.7054945054945055
50.0,10,0.9235846661589235,10,0.789010989010989
60.0,12,0.9558263518659559,12,0.8637362637362638
70.0,14,0.9735973597359736,14,0.9208791208791208
80.0,16,0.986037065244986,16,0.9648351648351648
90.0,18,0.993907083015994,18,0.9846153846153847
100.0,21,1.0,21,1.0
