Stereotype,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,formal,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
bringsAbout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
characterization,0.0,2.3255079231829816,0.1650902374025392,0.0,0.4303760761969286,0.3933409700342337,0.0,0.20176977615871614,0.0,0.4423557818234552,0.3328843179543309,0.8705262257943465,1.0361199481422647,0.0,0.6669901246043073,0.11016686646184409,0.0,0.0,0.0970832587143731,0.27587952877236044,1.540819237584387,1.189772758870834
comparative,0.0,0.1650902374025392,0.3049516237717111,0.0,0.10604682166395388,0.10165521985924733,0.0,0.009484234380742203,0.0,0.01393044204219767,0.044755399551043844,0.2719446151736187,0.18979502232978623,0.0,0.1361507093416639,0.0029965297530514315,0.0,0.0,0.11341456078151008,0.03974858803527096,0.1477187451887419,0.22025017286964893
componentOf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
creation,0.0,0.4303760761969286,0.10604682166395388,0.0,0.9532967643828179,0.18729239530156522,0.0,0.07242188529041368,0.0,0.31409112293907593,0.2575800759773289,0.3040490138337753,0.5378420429465327,0.0,0.6337803818545233,0.14966093621332766,0.0,0.0,0.16487937346792986,0.050567423270294225,0.6697291967845576,0.5119676513085635
derivation,0.0,0.3933409700342337,0.10165521985924733,0.0,0.18729239530156522,1.1448326085325327,0.0,0.08113689411129768,0.0,0.08679078460265954,0.05139430198458935,0.6518163804766405,0.658196914903774,0.0,0.19126863744244504,0.020788838215267537,0.0,0.0,0.06039083981006391,0.067015594102899,0.6634361448853969,0.49531275092176896
externalDependence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formal,0.0,0.20176977615871614,0.009484234380742203,0.0,0.07242188529041368,0.08113689411129768,0.0,0.6135634493379477,0.0,0.15539056345083277,0.16775589882253197,0.17295275840119773,0.2306635940950188,0.0,0.1751175274885457,0.007536234663655425,0.0,0.0,0.007536234663655425,0.04157563643201435,0.32834775152440304,0.25153070770477226
historicalDependence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
instantiation,0.0,0.4423557818234552,0.01393044204219767,0.0,0.31409112293907593,0.08679078460265954,0.0,0.15539056345083277,0.0,0.909854903836559,0.4637695087930348,0.19932668369786288,0.45083270547703536,0.0,0.4494691361097549,0.071927000024532,0.0,0.0,0.09465964889220391,0.11247541321266367,0.620593990861219,0.5767768233411598
