Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
mediation,466,1,466,19.248244527054936
role,350,2,816,33.705080545229244
kind,342,3,1158,47.83147459727385
subkind,270,4,1428,58.98389095415118
relator,229,5,1657,68.44279223461379
componentOf,137,6,1794,74.10161090458487
material,123,7,1917,79.182156133829
phase,93,8,2010,83.02354399008675
derivation,72,9,2082,85.99752168525403
collective,66,10,2148,88.72366790582404
memberOf,52,11,2200,90.87154068566709
category,50,12,2250,92.93680297397769
datatype,37,13,2287,94.46509706732755
characterization,33,14,2320,95.82817017761256
roleMixin,31,15,2351,97.10863279636513
mode,21,16,2372,97.9760429574556
quality,18,17,2390,98.71953738124742
subCollectionOf,14,18,2404,99.29781082197438
type,6,19,2410,99.54564229657167
mixin,4,20,2414,99.71086327963651
enumeration,4,21,2418,99.87608426270135
quantity,1,22,2419,99.91738950846758
comparative,1,23,2420,99.95869475423379
abstract,1,24,2421,100.0
historicalRoleMixin,0,25,2421,100.0
historicalRole,0,26,2421,100.0
event,0,27,2421,100.0
phaseMixin,0,28,2421,100.0
bringsAbout,0,29,2421,100.0
situation,0,30,2421,100.0
externalDependence,0,31,2421,100.0
creation,0,32,2421,100.0
manifestation,0,33,2421,100.0
instantiation,0,34,2421,100.0
historicalDependence,0,35,2421,100.0
participation,0,36,2421,100.0
participational,0,37,2421,100.0
subQuantityOf,0,38,2421,100.0
termination,0,39,2421,100.0
triggers,0,40,2421,100.0
