Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
mediation,473,1,473,25.974739154310818
characterization,325,2,798,43.82207578253707
material,276,3,1074,58.97858319604613
componentOf,158,4,1232,67.65513454146074
participation,146,5,1378,75.6727073036793
derivation,78,6,1456,79.9560680944536
externalDependence,71,7,1527,83.85502471169687
instantiation,63,8,1590,87.3146622734761
memberOf,46,9,1636,89.8407468423943
creation,43,10,1679,92.20208676551346
historicalDependence,35,11,1714,94.12410763316859
manifestation,34,12,1748,95.99121361889071
bringsAbout,26,13,1774,97.41900054914882
triggers,15,14,1789,98.24272377814388
comparative,13,15,1802,98.95661724327293
participational,9,16,1811,99.45085118066996
subCollectionOf,7,17,1818,99.835255354201
termination,3,18,1821,100.0
subQuantityOf,0,19,1821,100.0
