Stereotype,bringsAbout,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation
bringsAbout,1.0,0.3018234389985646,0.04651295035264074,0.12521963224324587,-0.030517032048904325,0.2366819833013338,0.4437445704411119,0.324013152111475,0.3900671796328514,0.13076656831453454,-0.1230215871842702,-0.08916153599597636,0.532515046567803
characterization,0.3018234389985646,1.0,0.19015212698849338,0.15691120502137487,-0.045210447017818144,0.42002448603225334,0.26388864157193886,0.32564712353567965,0.3760085533515806,0.07312501758494935,0.3081928316477789,0.05452730724836196,0.35043351073408446
componentOf,0.04651295035264074,0.19015212698849338,1.0,0.023983743573985344,-0.029699757560531618,0.01992910389746665,0.07560357046753297,0.18682378510170644,0.17486118309708715,0.22679910889239366,0.17690075809599665,0.2701097439206886,-0.03805115540471636
creation,0.12521963224324587,0.15691120502137487,0.023983743573985344,1.0,0.03538462008226794,0.1998667976363808,0.31115106214480787,0.36144843587249453,0.3736683922035268,-0.03845107607654894,0.1726425885539032,0.14236272832576977,0.6539174749991271
derivation,-0.030517032048904325,-0.045210447017818144,-0.029699757560531618,0.03538462008226794,1.0,-0.09252962924014059,-0.11901405613195626,-0.1503222117774411,-0.1684417513869116,0.4043411422592643,0.31885596541758693,0.14323117902707092,-0.08581787016636301
externalDependence,0.2366819833013338,0.42002448603225334,0.01992910389746665,0.1998667976363808,-0.09252962924014059,1.0,0.37255725264094003,0.5324278620088101,0.44625832784363934,-0.24883211985105808,0.11839831782631256,0.1441900496670249,0.35086538967237996
historicalDependence,0.4437445704411119,0.26388864157193886,0.07560357046753297,0.31115106214480787,-0.11901405613195626,0.37255725264094003,1.0,0.5817600184786599,0.5727648691367607,-0.008590849856566878,0.09362887319075443,0.08705614331364663,0.5552001578713367
instantiation,0.324013152111475,0.32564712353567965,0.18682378510170644,0.36144843587249453,-0.1503222117774411,0.5324278620088101,0.5817600184786599,1.0,0.7949078336040468,-0.1376839993613099,0.08304577813814072,0.017613411542131575,0.5044896676738908
manifestation,0.3900671796328514,0.3760085533515806,0.17486118309708715,0.3736683922035268,-0.1684417513869116,0.44625832784363934,0.5727648691367607,0.7949078336040468,1.0,-0.09885078604127652,0.057248896240849806,0.040893655494934525,0.5617740624301217
material,0.13076656831453454,0.07312501758494935,0.22679910889239366,-0.03845107607654894,0.4043411422592643,-0.24883211985105808,-0.008590849856566878,-0.1376839993613099,-0.09885078604127652,1.0,0.2461340864949229,0.12760937162726507,-0.08163477620637095
mediation,-0.1230215871842702,0.3081928316477789,0.17690075809599665,0.1726425885539032,0.31885596541758693,0.11839831782631256,0.09362887319075443,0.08304577813814072,0.057248896240849806,0.2461340864949229,1.0,0.2761676320660114,0.06154722105877519
memberOf,-0.08916153599597636,0.05452730724836196,0.2701097439206886,0.14236272832576977,0.14323117902707092,0.1441900496670249,0.08705614331364663,0.017613411542131575,0.040893655494934525,0.12760937162726507,0.2761676320660114,1.0,0.12554675672426888
participation,0.532515046567803,0.35043351073408446,-0.03805115540471636,0.6539174749991271,-0.08581787016636301,0.35086538967237996,0.5552001578713367,0.5044896676738908,0.5617740624301217,-0.08163477620637095,0.06154722105877519,0.12554675672426888,1.0
