Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,1,0.25974739154310816,1,0.168
20.0,3,0.5897858319604613,3,0.42933333333333334
30.0,5,0.756727073036793,5,0.5946666666666667
40.0,7,0.8385502471169687,7,0.7146666666666667
50.0,9,0.8984074684239429,9,0.808
60.0,11,0.9412410763316859,11,0.8853333333333333
70.0,13,0.9741900054914882,13,0.9466666666666667
80.0,15,0.9895661724327293,15,0.9813333333333333
90.0,17,0.9983525535420099,17,0.9946666666666667
100.0,19,1.0,19,1.0
