Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
none,1056,1,1056,39.02439024390244
mediation,393,2,1449,53.547671840354774
characterization,279,3,1728,63.8580931263858
material,225,4,1953,72.1729490022173
participation,131,5,2084,77.0140428677014
other,123,6,2207,81.55949741315595
componentOf,117,7,2324,85.88322246858833
externalDependence,63,8,2387,88.21138211382113
instantiation,61,9,2448,90.46563192904657
derivation,57,10,2505,92.57206208425721
creation,43,11,2548,94.16112342941612
memberOf,36,12,2584,95.49150036954916
manifestation,31,13,2615,96.63710273466371
historicalDependence,30,14,2645,97.74575018477456
bringsAbout,23,15,2668,98.59571322985957
comparative,13,16,2681,99.07612712490761
triggers,13,17,2694,99.55654101995566
participational,9,18,2703,99.88913525498891
termination,3,19,2706,100.0
subQuantityOf,0,20,2706,100.0
subCollectionOf,0,21,2706,100.0
