Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.5354767184035477,2,0.2890625
20.0,4,0.7217294900221729,4,0.484375
30.0,6,0.8155949741315595,6,0.6067708333333334
40.0,8,0.8821138211382114,8,0.7109375
50.0,10,0.9257206208425721,10,0.7942708333333334
60.0,12,0.9549150036954915,12,0.8671875
70.0,14,0.9774575018477457,14,0.9296875
80.0,16,0.9907612712490761,16,0.9765625
90.0,18,0.9988913525498891,18,0.9947916666666666
100.0,21,1.0,21,1.0
