stereotype,total_correlation_occurrence_wise,rank_total_correlation_occurrence_wise
characterization,2.185497033455668,8
componentOf,1.9873514186498218,11
creation,2.3731425201049574,6
derivation,2.17051057502416,9
externalDependence,2.682481615917219,5
historicalDependence,2.968560453512161,4
instantiation,3.786307040030053,2
manifestation,3.8997592853637943,1
material,2.3668918854079872,7
mediation,1.872650581545475,12
memberOf,2.144633023273454,10
participation,3.198856142085167,3
none,1.629871723099531,13
other,1.43504466317542,14
