Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,42,1,42,9.744779582366588
mediation,39,2,81,18.793503480278424
role,39,3,120,27.842227378190255
relator,39,4,159,36.89095127610209
subkind,33,5,192,44.5475638051044
material,29,6,221,51.27610208816705
collective,27,7,248,57.540603248259856
derivation,22,8,270,62.64501160092807
componentOf,20,9,290,67.28538283062645
other_r,20,10,310,71.92575406032483
phase,19,11,329,76.33410672853829
memberOf,18,12,347,80.51044083526682
category,15,13,362,83.9907192575406
roleMixin,12,14,374,86.77494199535964
none_r,12,15,386,89.55916473317865
characterization,11,16,397,92.11136890951276
datatype,9,17,406,94.19953596287704
mode,8,18,414,96.05568445475639
subCollectionOf,5,19,419,97.21577726218096
mixin,3,20,422,97.91183294663574
quality,3,21,425,98.60788863109049
type,2,22,427,99.07192575406032
comparative,1,23,428,99.30394431554525
enumeration,1,24,429,99.53596287703016
abstract,1,25,430,99.76798143851508
quantity,1,26,431,100.0
historicalRoleMixin,0,27,431,100.0
event,0,28,431,100.0
historicalRole,0,29,431,100.0
none_c,0,30,431,100.0
creation,0,31,431,100.0
bringsAbout,0,32,431,100.0
phaseMixin,0,33,431,100.0
situation,0,34,431,100.0
other_c,0,35,431,100.0
instantiation,0,36,431,100.0
manifestation,0,37,431,100.0
externalDependence,0,38,431,100.0
historicalDependence,0,39,431,100.0
participation,0,40,431,100.0
subQuantityOf,0,41,431,100.0
participational,0,42,431,100.0
triggers,0,43,431,100.0
termination,0,44,431,100.0
