stereotype,total_correlation_occurrence_wise,rank_total_correlation_occurrence_wise
category,3.6065597069307422,9
datatype,1.6009102683134842,21
event,3.7890368147284166,8
kind,4.391043620964469,4
mode,2.880533194326491,16
phase,2.22991631072845,20
quality,3.6059697028460906,10
relator,3.514909181466072,12
role,3.2259131730645922,14
roleMixin,3.4826404784016125,13
situation,3.5527462457053423,11
subkind,3.0477292503461957,15
type,4.60777926518551,2
characterization,4.505481122966627,3
componentOf,2.7582412502524956,18
derivation,2.4796109809706737,19
externalDependence,4.12302888265729,6
instantiation,4.869739708571748,1
material,2.8602559083184707,17
mediation,3.882716929554891,7
participation,4.354330231642878,5
