Stereotype,Shannon Entropy,Gini Coefficient,Simpson Index
abstract,0.0,0.9905660377358491,1.0
category,5.654318003939476,0.6342649236911585,0.025871006068795215
collective,4.351968930886052,0.8430881786676935,0.059558517284464804
datatype,3.945390126817352,0.8858623438745682,0.08391192223765126
enumeration,2.296990826393095,0.9638364779874213,0.2612847222222222
event,5.065510076861786,0.7589704438870106,0.037271542650940556
historicalRole,1.2087030023114833,0.9823625922887613,0.5727788279773156
historicalRoleMixin,1.3921472193364495,0.9779874213836478,0.4074074074074074
kind,6.08344580689831,0.4943785829576446,0.017599046301372243
mixin,3.9219280718042424,0.8716981132075472,0.07000000000000002
mode,4.963413271395496,0.7681441549366078,0.04549144760784972
phase,4.627157038331181,0.8201151263191557,0.049570685307542536
phaseMixin,2.7016094855174675,0.9490566037735849,0.18999999999999997
quality,4.795680083906302,0.7939669228977405,0.04595336076817558
quantity,2.6084585818027892,0.9528301886792453,0.2109375
relator,5.808196416401967,0.5894568690095847,0.02360950913043922
role,5.799234739763272,0.5867559047923615,0.021909022155256818
roleMixin,4.590835036699183,0.8187389130785357,0.06720724669442617
situation,3.976454662180827,0.8786872176454956,0.07677048204721285
subkind,5.5425113503208205,0.6692328880319515,0.027630667590175288
type,3.7337012204968865,0.9037735849056604,0.10098765432098765
bringsAbout,3.353533932707837,0.9172714078374455,0.10355029585798817
characterization,5.383844180355236,0.6954716981132075,0.02952899408284024
comparative,1.4885252891269685,0.978955007256894,0.4437869822485207
componentOf,4.524518187319293,0.829949844757583,0.05784329434385515
creation,3.570135953337833,0.9102676612549364,0.1032990805840995
derivation,4.43582849335608,0.837929366231253,0.0601577909270217
externalDependence,3.956754297738742,0.8855965984586766,0.07796072207895258
historicalDependence,3.471682641575707,0.9172506738544475,0.10857142857142857
instantiation,3.5800458808801583,0.9115004492362982,0.09700176366843033
manifestation,3.198085442834249,0.9295227524972253,0.14186851211072665
material,4.561727332468059,0.8229423024336888,0.0687093047679059
mediation,5.616362563067488,0.6417251794610285,0.024589278227531867
memberOf,3.9491622666037602,0.8826907301066448,0.08223062381852553
participation,4.078165471949852,0.8751615404497286,0.08266091199099268
participational,0.9864267244027575,0.9842767295597484,0.6296296296296298
subCollectionOf,0.863120565681241,0.9851752021563343,0.5918367346938775
subQuantityOf,0.0,0.0,0.0
termination,0.9182958311690995,0.9842767295597484,0.5555555555555556
triggers,3.0565647491466983,0.9327044025157233,0.12888888888888891
