stereotype,total_correlation,rank
category,3.5748622842388693,13
datatype,1.8971678798190046,21
event,4.5164716035763774,7
kind,4.755621843704844,6
mode,3.431880262776609,15
phase,2.504548689662789,20
quality,4.002452371426863,10
relator,3.653008992783107,11
role,3.460155781537196,14
roleMixin,3.604328953049846,12
situation,4.242816449053045,8
subkind,3.139973691667193,17
type,5.354974611463792,2
characterization,4.948542534019826,4
componentOf,2.949992709107214,18
derivation,2.825382051857035,19
externalDependence,4.836298849341738,5
instantiation,5.7399778900530745,1
material,3.1756410393034415,16
mediation,4.20904572884145,9
participation,5.349174025672202,3
