stereotype,total_correlation,rank
category,3.543443444653044,20
collective,3.4289496326336106,22
datatype,2.2482496586199336,28
event,5.383562299162793,9
kind,5.150470155282855,10
mixin,2.380143877065312,27
mode,4.088757651268608,15
phase,2.813004285726967,26
quality,4.442529002086924,13
relator,3.7965347075591467,16
role,3.711407403173017,18
roleMixin,3.7302693982801864,17
situation,5.066922930990577,11
subkind,3.2350100597821,23
type,6.223334808176256,4
bringsAbout,5.7073876386294495,6
characterization,5.435173856611175,8
componentOf,3.155074626988874,25
creation,4.094272698529163,14
derivation,3.2193694092413274,24
externalDependence,5.672962093117695,7
historicalDependence,6.071232258038114,5
instantiation,6.765730439412195,1
manifestation,6.582816616655815,2
material,3.525802002953289,21
mediation,4.562801324151486,12
memberOf,3.6478058643992917,19
participation,6.571312058279576,3
