Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,4,0.3934111905176922,4,0.28389444949954507
20.0,8,0.6160013944570333,8,0.5013648771610555
30.0,12,0.7686944396025798,12,0.6551410373066424
40.0,16,0.8656092034164198,16,0.7643312101910829
50.0,20,0.9163325780024403,20,0.8425841674249318
60.0,24,0.9522398466097264,24,0.9062784349408554
70.0,28,0.9762942304340247,28,0.9535941765241128
80.0,32,0.9900644936377898,32,0.9827115559599636
90.0,36,0.9980826215792226,36,0.9954504094631483
100.0,40,1.0,40,1.0
