Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,86,1,86,7.825295723384896
relator,79,2,165,15.013648771610555
subkind,75,3,240,21.83803457688808
category,72,4,312,28.389444949954505
role,71,5,383,34.849863512283896
mediation,65,6,448,40.76433121019109
characterization,56,7,504,45.85987261146497
event,47,8,551,50.13648771610555
mode,46,9,597,54.3221110100091
roleMixin,44,10,641,58.32575068243858
material,42,11,683,62.14740673339399
quality,37,12,720,65.51410373066425
phase,33,13,753,68.51683348498635
componentOf,32,14,785,71.42857142857143
derivation,30,15,815,74.15832575068244
collective,25,16,840,76.43312101910828
participation,25,17,865,78.70791628753412
datatype,21,18,886,80.61874431301183
memberOf,20,19,906,82.4385805277525
type,20,20,926,84.25841674249318
externalDependence,20,21,946,86.07825295723384
situation,19,22,965,87.80709736123748
mixin,16,23,981,89.26296633303002
creation,15,24,996,90.62784349408554
instantiation,15,25,1011,91.99272065514104
historicalDependence,14,26,1025,93.26660600545951
manifestation,12,27,1037,94.35850773430391
bringsAbout,11,28,1048,95.35941765241128
triggers,9,29,1057,96.17834394904459
phaseMixin,8,30,1065,96.90627843494084
quantity,8,31,1073,97.63421292083713
enumeration,7,32,1080,98.27115559599636
historicalRole,4,33,1084,98.6351228389445
comparative,4,34,1088,98.99909008189263
participational,3,35,1091,99.27206551410373
historicalRoleMixin,3,36,1094,99.54504094631483
termination,2,37,1096,99.7270245677889
subCollectionOf,2,38,1098,99.90900818926298
abstract,1,39,1099,100.0
subQuantityOf,0,40,1099,100.0
