stereotype,total_correlation,rank
category,4.14731935144469,9
collective,4.146555612784007,10
datatype,3.397353211535748,22
event,4.599533470552303,4
kind,4.661378993816077,3
mixin,3.9487869884774796,13
mode,4.175952132267912,8
phase,3.144075616186319,24
quality,4.3290366196320615,7
relator,3.768732673340865,17
role,3.633976444695458,20
roleMixin,4.763634505582003,2
situation,3.745628697565519,19
subkind,3.9507003796507325,12
none_c,3.7645426846643018,18
other_c,3.154261105729274,23
characterization,4.948333504910113,1
componentOf,3.63286229254628,21
derivation,4.339074584916597,6
material,3.9076733768284697,14
mediation,4.507622677212794,5
memberOf,3.782803303586502,15
none_r,3.9582453161151596,11
other_r,3.782448149414366,16
