Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
mediation,365,1,365,25.54233729881036
characterization,260,2,625,43.73687893631911
material,225,3,850,59.482155353393985
componentOf,117,4,967,67.66969909027291
participation,101,5,1068,74.73757872638208
externalDependence,63,6,1131,79.14625612316306
instantiation,61,7,1192,83.4149755073478
derivation,52,8,1244,87.05388383484954
memberOf,36,9,1280,89.57312806158153
creation,34,10,1314,91.95241427571729
manifestation,31,11,1345,94.12176347095871
historicalDependence,30,12,1375,96.22113365990202
bringsAbout,23,13,1398,97.83065080475856
comparative,13,14,1411,98.74037788663401
triggers,13,15,1424,99.65010496850944
termination,3,16,1427,99.86004198740378
participational,2,17,1429,100.0
subQuantityOf,0,18,1429,100.0
subCollectionOf,0,19,1429,100.0
