Stereotype,bringsAbout,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,triggers
bringsAbout,1.0,0.22371955963195703,0.078923379968897,0.10463006543865562,-0.02071569304241612,0.13633087887021705,0.33176603896970114,0.2063935537420056,0.27422835785230637,0.15777941689868233,-0.23883975507726818,-0.09889691116804436,0.5167015032338725,0.6240162697959689
characterization,0.22371955963195703,1.0,0.31966282801241536,0.009314255199061526,-0.03607500410216384,0.30856771311790454,0.13308570489381405,0.22975162824351764,0.24466596588294592,0.2152863765648696,0.22348904980364917,0.08279337954721357,0.19322237793508115,0.27086640009779733
componentOf,0.078923379968897,0.31966282801241536,1.0,0.05067421524769317,-0.1384149595593592,0.029582691662949367,0.1552862428461243,0.2803254460510686,0.3023143986229813,0.1867586598209987,0.1384149595593592,0.2803254460510686,0.012059369202226345,-0.14245072057454744
creation,0.10463006543865562,0.009314255199061526,0.05067421524769317,1.0,0.03515830727971361,0.19942225153370335,0.314559428944411,0.37719298245614036,0.3747964689054208,-0.05173031063085132,0.040485323534215675,0.19924812030075187,0.6630774973900276,-0.06464979361865095
derivation,-0.02071569304241612,-0.03607500410216384,-0.1384149595593592,0.03515830727971361,1.0,-0.12667316689086178,-0.17207962175970878,-0.19177258516207427,-0.21321359040630639,0.4656778476429741,0.4148550724637681,0.1864455689075722,-0.07333242890562076,0.13406030251828893
externalDependence,0.13633087887021705,0.30856771311790454,0.029582691662949367,0.19942225153370335,-0.12667316689086178,1.0,0.31009580292580247,0.524916041393311,0.37681226746486535,-0.2866557435679719,-0.011692907713002625,0.1180488040688014,0.23961980246988987,0.2019010511976753
historicalDependence,0.33176603896970114,0.13308570489381405,0.1552862428461243,0.314559428944411,-0.17207962175970878,0.31009580292580247,1.0,0.4976227031661585,0.5018172906545804,-0.022956906411575266,0.01644072819360275,0.13149615472266363,0.4702954783339765,0.2919924108914283
instantiation,0.2063935537420056,0.22975162824351764,0.2803254460510686,0.37719298245614036,-0.19177258516207427,0.524916041393311,0.4976227031661585,1.0,0.7661280761449043,-0.19576372454420204,-0.1108019380936429,0.021303258145363407,0.43342626658665223,0.1592592476947255
manifestation,0.27422835785230637,0.24466596588294592,0.3023143986229813,0.3747964689054208,-0.21321359040630639,0.37681226746486535,0.5018172906545804,0.7661280761449043,1.0,-0.11822525334688298,-0.11949333088705083,0.0812977634758082,0.47066202452283756,0.2167318694209581
material,0.15777941689868233,0.2152863765648696,0.1867586598209987,-0.05173031063085132,0.4656778476429741,-0.2866557435679719,-0.022956906411575266,-0.19576372454420204,-0.11822525334688298,1.0,0.3915143385739079,0.23633651719585014,-0.061089281249859385,0.06636887120424444
mediation,-0.23883975507726818,0.22348904980364917,0.1384149595593592,0.040485323534215675,0.4148550724637681,-0.011692907713002625,0.01644072819360275,-0.1108019380936429,-0.11949333088705083,0.3915143385739079,1.0,0.34305984678993284,-0.0568326324018561,-0.13406030251828893
memberOf,-0.09889691116804436,0.08279337954721357,0.2803254460510686,0.19924812030075187,0.1864455689075722,0.1180488040688014,0.13149615472266363,0.021303258145363407,0.0812977634758082,0.23633651719585014,0.34305984678993284,1.0,0.127224625515485,-0.17660431427533915
participation,0.5167015032338725,0.19322237793508115,0.012059369202226345,0.6630774973900276,-0.07333242890562076,0.23961980246988987,0.4702954783339765,0.43342626658665223,0.47066202452283756,-0.061089281249859385,-0.0568326324018561,0.127224625515485,1.0,0.33916838232035107
triggers,0.6240162697959689,0.27086640009779733,-0.14245072057454744,-0.06464979361865095,0.13406030251828893,0.2019010511976753,0.2919924108914283,0.1592592476947255,0.2167318694209581,0.06636887120424444,-0.13406030251828893,-0.17660431427533915,0.33916838232035107,1.0
