Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.3542342342342342,2,0.22586872586872586
20.0,4,0.5351351351351351,4,0.42084942084942084
30.0,6,0.6767567567567567,6,0.5791505791505791
40.0,8,0.78990990990991,8,0.7027027027027027
50.0,10,0.8818018018018018,10,0.806949806949807
60.0,12,0.9286486486486486,12,0.8745173745173745
70.0,14,0.9625225225225226,14,0.9324324324324325
80.0,16,0.9827027027027027,16,0.9671814671814671
90.0,18,0.9942342342342342,18,0.9845559845559846
100.0,21,1.0,21,1.0
