Stereotype,x_value,y_value,quadrant
bringsAbout,30,0.0244399185336048,Q3
characterization,400,0.1160896130346232,Q1
comparative,22,0.010183299389002,Q3
componentOf,233,0.065173116089613,Q1
creation,60,0.0366598778004073,Q2
derivation,106,0.0610997963340122,Q1
externalDependence,69,0.0407331975560081,Q1
historicalDependence,44,0.0325865580448065,Q3
instantiation,69,0.0346232179226069,Q4
manifestation,34,0.0244399185336048,Q3
material,325,0.0773930753564154,Q1
mediation,641,0.1262729124236252,Q1
memberOf,73,0.0427698574338085,Q1
participation,207,0.0570264765784114,Q1
participational,17,0.0081466395112016,Q3
subCollectionOf,8,0.0040733197556008,Q3
subQuantityOf,11,0.0040733197556008,Q3
termination,5,0.0061099796334012,Q3
triggers,16,0.020366598778004,Q3
other,163,0.0427698574338085,Q1
none,1670,0.164969450101833,Q1
