Stereotype,DistanceFromOrigin,Rank
none,1671.9632172987538,1
mediation,643.9914595706996,2
characterization,404.04083951996734,3
material,327.2139972556186,4
componentOf,235.1871595134394,5
participation,208.88513590009222,6
other,164.34719346554112,7
derivation,110.16351483136329,8
memberOf,75.96051605933177,9
externalDependence,71.84010022264724,10
instantiation,71.06335201775948,11
creation,62.6418390534633,12
historicalDependence,46.8187996428785,13
manifestation,36.05551275463989,14
bringsAbout,32.31098884280702,15
comparative,22.561028345356956,16
triggers,18.867962264113206,17
participational,17.46424919657298,18
subQuantityOf,11.180339887498949,19
subCollectionOf,8.246211251235321,20
termination,5.830951894845301,21
