Stereotype,DistanceFromOrigin,Rank
none,1670.0002320854348,1
mediation,641.0003542579287,2
characterization,400.0004798260355,3
material,325.0002624689939,4
componentOf,233.00025961999864,5
participation,207.0002237380415,6
other,163.0001598251504,7
derivation,106.00050156816813,8
memberOf,73.00035686915903,9
externalDependence,69.00034245552123,10
instantiation,69.00024742428448,11
creation,60.000318997261644,12
historicalDependence,44.00034370032457,13
manifestation,34.00025019367526,14
bringsAbout,30.0002835525352,15
comparative,22.00006712912941,16
participational,17.000055598708148,17
triggers,16.000369206515252,18
subQuantityOf,11.00002148133321,19
subCollectionOf,8.000029536807476,20
termination,5.000106331572574,21
