Stereotype,x_value,y_value,quadrant
bringsAbout,12,0.0244399185336048,Q3
characterization,57,0.1160896130346232,Q1
comparative,5,0.010183299389002,Q3
componentOf,32,0.065173116089613,Q1
creation,18,0.0366598778004073,Q1
derivation,30,0.0610997963340122,Q1
externalDependence,20,0.0407331975560081,Q1
historicalDependence,16,0.0325865580448065,Q3
instantiation,17,0.0346232179226069,Q3
manifestation,12,0.0244399185336048,Q3
material,38,0.0773930753564154,Q1
mediation,62,0.1262729124236252,Q1
memberOf,21,0.0427698574338085,Q1
participation,28,0.0570264765784114,Q1
participational,4,0.0081466395112016,Q3
subCollectionOf,2,0.0040733197556008,Q3
subQuantityOf,2,0.0040733197556008,Q3
termination,3,0.0061099796334012,Q3
triggers,10,0.020366598778004,Q3
other,21,0.0427698574338085,Q1
none,81,0.164969450101833,Q1
