Stereotype,x_value,y_value,quadrant
bringsAbout,30,0.3260869565217391,Q3
characterization,400,4.3478260869565215,Q1
comparative,22,0.2391304347826087,Q3
componentOf,233,2.532608695652174,Q1
creation,60,0.6521739130434783,Q3
derivation,106,1.1521739130434785,Q1
externalDependence,69,0.75,Q1
historicalDependence,44,0.4782608695652174,Q3
instantiation,69,0.75,Q1
manifestation,34,0.3695652173913043,Q3
material,325,3.532608695652174,Q1
mediation,641,6.967391304347826,Q1
memberOf,73,0.7934782608695652,Q1
participation,207,2.25,Q1
participational,17,0.1847826086956521,Q3
subCollectionOf,8,0.0869565217391304,Q3
subQuantityOf,11,0.1195652173913043,Q3
termination,5,0.0543478260869565,Q3
triggers,16,0.1739130434782608,Q3
other,163,1.7717391304347827,Q1
none,1670,18.15217391304348,Q1
