Stereotype,average_quantity,rank,proportion
bringsAbout,0,5,0.0
characterization,1,2,0.1111111111111111
comparative,0,5,0.0
componentOf,1,2,0.1111111111111111
creation,0,5,0.0
derivation,0,5,0.0
externalDependence,0,5,0.0
historicalDependence,0,5,0.0
instantiation,0,5,0.0
manifestation,0,5,0.0
material,1,2,0.1111111111111111
mediation,6,1,0.6666666666666666
memberOf,0,5,0.0
participation,0,5,0.0
participational,0,5,0.0
subCollectionOf,0,5,0.0
subQuantityOf,0,5,0.0
termination,0,5,0.0
triggers,0,5,0.0
