stereotype,total_correlation,rank
category,3.5145346088869993,7
collective,2.721819602224575,15
event,3.610793475379351,6
kind,4.322702357553631,2
mode,3.33276331437285,10
phase,2.494049132509886,17
quality,3.448144465938043,9
relator,3.0008228484946624,14
role,2.6738659746020956,16
roleMixin,4.387827121674985,1
situation,3.0470562780373593,13
subkind,3.2865667131511995,11
characterization,4.129236246384769,3
componentOf,3.064182804861895,12
derivation,3.4553506963373577,8
material,3.731281757982968,4
mediation,3.7253732704370783,5
