stereotype,total_correlation,rank
category,4.006734923235492,6
datatype,1.8087112692723726,21
event,3.7914853289099453,9
kind,4.407046404771587,3
mode,3.0325684592046835,18
phase,3.0355806578750233,17
quality,3.6344385940465074,12
relator,3.9449659469239906,8
role,3.4533504157002266,14
roleMixin,3.386282543268906,15
subkind,3.733898955833091,11
type,5.181016659816254,1
none_c,1.7085283956500157,22
characterization,4.312497970407328,4
componentOf,3.5081798715236117,13
externalDependence,4.05524568921641,5
instantiation,4.997765342972907,2
material,3.1008185499979817,16
mediation,3.750046782037246,10
participation,3.9719328173101642,7
none_r,2.190120736324468,19
other_r,1.856610239431225,20
