year,category,period,predicted,slope,intercept
2015,none (occurrence),2015-2018,8.314750890036521,23.854812707641777,-48059.132855008145
2016,none (occurrence),2015-2018,32.16956359767937,23.854812707641777,-48059.132855008145
2017,none (occurrence),2015-2018,56.02437630532222,23.854812707641777,-48059.132855008145
2018,none (occurrence),2015-2018,79.8791890129578,23.854812707641777,-48059.132855008145
2015,none (model-wise),2015-2018,15.409644939056307,5.512983571807101,-11093.252252252252
2016,none (model-wise),2015-2018,20.922628510863433,5.512983571807101,-11093.252252252252
2017,none (model-wise),2015-2018,26.43561208267056,5.512983571807101,-11093.252252252252
2018,none (model-wise),2015-2018,31.948595654477685,5.512983571807101,-11093.252252252252
2015,other (occurrence),2015-2018,17.783217986434465,-5.005893173731171,10104.657963054744
2016,other (occurrence),2015-2018,12.777324812703228,-5.005893173731171,10104.657963054744
2017,other (occurrence),2015-2018,7.77143163897199,-5.005893173731171,10104.657963054744
2018,other (occurrence),2015-2018,2.765538465240752,-5.005893173731171,10104.657963054744
2015,other (model-wise),2015-2018,12.598657481010378,-2.0189012541953715,4080.684684684684
2016,other (model-wise),2015-2018,10.57975622681488,-2.0189012541953715,4080.684684684684
2017,other (model-wise),2015-2018,8.560854972619381,-2.0189012541953715,4080.684684684684
2018,other (model-wise),2015-2018,6.541953718424338,-2.0189012541953715,4080.684684684684
