Stereotype,Total,Mean,Median,Mode,Standard Deviation,Variance,Skewness,Kurtosis,Q1,Q3,IQR,Min,Max,Range,Min Non-Zero,Range Non-Zero
abstract,1,0.023255813953488372,0.0,0,0.15249857033260467,0.023255813953488372,6.5574385243019995,43.0,0.0,0.0,0.0,0,1,1,1.0,0.0
category,41,0.9534883720930233,0.0,0,1.9994462134740854,3.997785160575858,3.4783261410872663,15.026971348982372,0.0,1.0,1.0,0,11,11,1.0,10.0
collective,66,1.5348837209302326,1.0,0,2.229123650240609,4.9689922480620154,2.257865002944837,4.992618358340687,0.0,2.0,2.0,0,9,9,1.0,8.0
datatype,37,0.8604651162790697,0.0,0,2.0069094381166708,4.027685492801772,2.4804427510333253,5.365262462479411,0.0,0.0,0.0,0,8,8,1.0,7.0
enumeration,4,0.09302325581395349,0.0,0,0.6099942813304187,0.372093023255814,6.557438524301999,42.99999999999999,0.0,0.0,0.0,0,4,4,4.0,0.0
event,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
historicalRole,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
historicalRoleMixin,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
kind,326,7.5813953488372094,7.0,3,5.279035617824866,27.868217054263567,0.9883740791559684,0.9341468552406371,3.0,11.0,8.0,0,24,24,1.0,23.0
mixin,4,0.09302325581395349,0.0,0,0.36605707910184704,0.1339977851605759,4.2736568353674675,19.078979677850857,0.0,0.0,0.0,0,2,2,1.0,1.0
mode,21,0.4883720930232558,0.0,0,1.1623476453825967,1.351052048726467,2.366950647789658,4.426144814205468,0.0,0.0,0.0,0,4,4,1.0,3.0
phase,91,2.116279069767442,0.0,0,2.83018847029816,8.00996677740864,1.0459705445582574,-0.18544184920321527,0.0,4.0,4.0,0,9,9,2.0,7.0
phaseMixin,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
quality,18,0.4186046511627907,0.0,0,2.1628085592089223,4.677740863787374,6.19549397874867,39.500775187084294,0.0,0.0,0.0,0,14,14,2.0,12.0
