Group,Support (Model Count),Coverage (%),Total Occurrences,Average Occurrences per Model
sortal,81,98.78048780487805,3404,41.51219512195122
non_sortal,65,79.26829268292683,549,6.695121951219512
rigid,81,98.78048780487805,2982,36.36585365853659
non_rigid,72,87.8048780487805,897,10.939024390243903
abstracts,22,26.82926829268293,117,1.4268292682926829
temporal,37,45.1219512195122,414,5.048780487804878
other,9,10.975609756097562,40,0.4878048780487805
none,15,18.29268292682927,135,1.646341463414634
rigid_sortal,79,96.34146341463415,2712,33.073170731707314
rigid_non_sortal,59,71.95121951219512,270,3.292682926829268
non_rigid_sortal,63,76.82926829268293,618,7.536585365853658
non_rigid_non_sortal,42,51.21951219512195,279,3.402439024390244
undef,22,26.82926829268293,175,2.1341463414634148
