Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.518461874590343,2,0.27121771217712176
20.0,4,0.6928118855145292,4,0.45940959409594095
30.0,6,0.7965916539217828,6,0.5811808118081181
40.0,8,0.8584225475202097,8,0.6826568265682657
50.0,10,0.9038671618964387,10,0.7675276752767528
60.0,12,0.9399169761852741,12,0.8431734317343174
70.0,14,0.9663535066637535,14,0.915129151291513
80.0,16,0.9827397858859515,16,0.9612546125461254
90.0,18,0.9919161022503823,18,0.9833948339483395
100.0,21,1.0,21,1.0
